id,sex,birth,age1,age,area,edu,income,k2,k3,k4,k6,k7,k8,k10,k12,k13,k14,ideo_self
6,1,1956,60,6,1,2,2,1,0,,,,0,,1,0,0,5
8,1,1951,65,6,1,3,1,1,0,1,1,,1,0,0,1,1,8
13,1,1952,64,6,1,2,1,1,1,0,1,1,1,0,0,0,0,10
24,1,1949,67,6,1,4,1,1,,0,1,1,1,0,0,1,1,8
30,1,1954,62,6,1,2,2,,1,1,1,,,,0,0,,3
35,1,1956,60,6,1,5,14,,,,,,,,,,,3
36,1,1954,62,6,1,2,1,,1,1,1,,1,0,0,0,1,5
46,1,1952,64,6,1,2,3,,,1,1,0,1,1,1,,0,6
50,1,1954,62,6,1,5,1,1,1,0,1,1,1,0,0,0,0,8
55,1,1949,67,6,1,3,1,1,0,1,1,0,1,,0,1,1,9
61,1,1949,67,6,1,4,1,1,0,1,1,,1,0,0,0,1,7
76,1,1953,63,6,1,4,1,1,0,1,1,1,1,1,0,1,1,8
81,1,1955,61,6,1,4,1,1,0,1,1,0,1,0,0,1,1,6
86,1,1950,66,6,1,4,1,1,0,1,1,0,0,0,0,1,1,9
88,1,1956,60,6,1,5,1,1,1,1,1,,,0,0,0,1,5
92,1,1954,62,6,1,4,1,1,0,1,1,0,1,0,1,1,1,8
97,1,1955,61,6,1,4,1,1,,1,1,,,0,0,1,0,6
107,1,1956,60,6,1,4,1,1,0,1,1,1,1,1,1,1,1,10
111,1,1955,61,6,1,2,2,0,1,1,1,0,0,0,0,0,1,5
113,1,1956,60,6,1,4,1,1,1,1,1,0,0,0,0,0,1,5
118,1,1950,66,6,1,2,1,0,0,1,1,0,1,0,0,1,0,10
125,1,1956,60,6,1,4,1,1,0,1,1,0,1,0,0,1,1,7
134,1,1955,61,6,1,3,1,0,1,0,0,1,0,0,1,0,0,5
140,1,1954,62,6,1,4,2,1,0,1,0,0,1,1,1,0,1,5
171,1,1955,61,6,1,4,3,1,0,1,1,1,1,0,0,1,1,5
177,1,1956,60,6,1,2,1,1,0,1,1,0,0,0,0,1,1,9
182,1,1955,61,6,1,3,1,1,,,1,0,1,,0,,1,5
232,1,1951,65,6,1,4,1,1,1,1,1,0,1,1,0,0,1,5
255,1,1956,60,6,1,4,1,1,0,1,1,0,1,0,0,0,1,7
281,1,1956,60,6,1,2,1,1,0,1,1,1,1,0,0,1,0,4
285,1,1950,66,6,1,5,8,0,1,0,1,0,0,0,1,0,1,8
289,1,1956,60,6,1,4,1,1,0,1,1,,1,0,0,1,1,7
300,1,1956,60,6,1,5,1,1,0,1,1,1,0,0,0,1,1,6
339,1,1956,60,6,1,3,1,0,1,0,,0,0,1,0,0,1,3
357,1,1955,61,6,1,2,2,,0,0,0,0,0,1,1,0,1,6
415,1,1952,64,6,1,5,1,1,0,1,1,1,,0,0,1,1,10
417,1,1956,60,6,1,5,1,1,0,1,1,0,1,0,0,1,1,7
432,1,1954,62,6,1,5,1,1,0,1,,1,1,0,0,0,1,8
441,1,1953,63,6,1,5,1,1,1,1,1,0,1,0,0,1,1,4
447,1,1956,60,6,1,2,2,1,1,0,1,0,0,,,0,1,5
454,1,1951,65,6,1,4,1,1,0,1,1,1,1,0,0,1,0,8
457,1,1955,61,6,1,4,1,1,0,1,1,1,1,0,0,1,1,10
489,1,1954,62,6,1,1,1,1,0,1,1,0,1,0,1,0,1,4
493,1,1952,64,6,1,4,1,1,0,1,1,1,1,0,1,1,1,6
515,1,1956,60,6,1,4,1,1,0,1,1,0,1,0,0,0,1,7
534,1,1954,62,6,1,4,1,1,1,0,1,1,1,,0,,1,3
547,1,1952,64,6,1,1,1,1,1,0,,0,1,1,1,1,0,10
568,1,1956,60,6,1,3,1,1,,1,1,0,,0,0,0,1,6
601,1,1954,62,6,1,2,1,1,0,1,1,1,1,0,0,1,1,7
607,1,1951,65,6,1,5,1,1,0,1,1,1,1,1,1,1,1,5
611,1,1950,66,6,1,2,1,1,0,1,1,0,1,0,0,1,1,9
623,1,1955,61,6,1,4,1,1,0,0,1,0,1,0,0,1,1,7
629,1,1949,67,6,1,1,1,0,0,0,1,0,1,0,0,0,0,5
643,1,1956,60,6,1,3,1,1,0,1,1,,,0,0,1,1,9
655,1,1956,60,6,1,3,1,1,0,1,1,0,1,0,0,0,1,7
665,1,1955,61,6,1,4,3,1,0,1,1,1,1,0,0,1,1,9
669,1,1951,65,6,1,4,8,1,0,1,1,1,1,0,0,1,1,8
679,1,1954,62,6,1,4,1,1,0,0,1,0,0,0,0,0,1,1
703,1,1954,62,6,1,4,1,1,0,1,0,0,1,1,0,0,1,2
727,1,1952,64,6,1,2,3,1,0,1,1,,0,0,1,1,1,8
731,1,1953,63,6,1,2,1,1,0,1,,1,0,,0,0,1,8
735,1,1951,65,6,1,2,1,1,0,1,1,,1,0,0,1,1,8
755,1,1955,61,6,1,2,2,,0,1,1,,,,0,1,1,5
762,1,1952,64,6,1,4,1,1,0,1,1,1,1,0,0,1,1,8
783,1,1956,60,6,1,2,2,1,0,1,1,0,0,0,0,1,1,8
9,2,1955,61,6,1,1,1,1,0,1,0,0,0,1,0,0,1,5
12,2,1954,62,6,1,2,2,0,1,0,1,0,0,,,0,1,1
29,2,1956,60,6,1,2,1,1,,,,,1,0,1,0,1,10
42,2,1955,61,6,1,4,1,1,,0,1,0,1,0,0,1,1,8
43,2,1949,67,6,1,2,1,1,0,1,,,1,,0,,,10
54,2,1954,62,6,1,2,1,1,,,1,,0,,0,1,1,6
85,2,1949,67,6,1,2,1,1,0,1,1,1,0,0,0,0,1,5
100,2,1956,60,6,1,4,1,0,0,0,,0,0,1,1,0,1,2
120,2,1954,62,6,1,2,1,,1,,1,0,0,,0,0,,6
129,2,1955,61,6,1,2,1,1,1,1,1,,0,0,0,1,,10
131,2,1956,60,6,1,2,3,1,1,,1,,1,1,1,1,1,5
144,2,1956,60,6,1,4,1,1,1,,0,0,1,,,0,1,4
152,2,1948,68,6,1,2,7,0,1,0,1,0,0,1,1,0,0,4
156,2,1948,68,6,1,4,1,1,,,1,,0,1,1,0,,5
168,2,1953,63,6,1,2,1,1,0,1,1,1,1,0,0,1,1,7
186,2,1954,62,6,1,1,4,1,,,,,1,1,,1,1,6
202,2,1954,62,6,1,2,1,0,1,1,1,0,0,0,0,0,1,4
294,2,1945,71,6,1,1,1,1,,1,1,0,1,1,0,,1,4
465,2,1952,64,6,1,4,4,0,1,0,1,0,0,1,1,0,1,5
491,2,1955,61,6,1,2,1,,0,,0,,1,0,1,0,1,7
575,2,1952,64,6,1,4,1,1,1,0,1,0,0,1,0,0,0,0
579,2,1953,63,6,1,2,1,1,,,,0,,,1,0,,5
581,2,1955,61,6,1,4,1,1,1,1,1,,0,0,0,,0,4
686,2,1955,61,6,1,2,1,1,0,1,1,1,1,0,0,1,1,10
715,2,1956,60,6,1,4,1,1,0,1,1,1,1,0,0,1,1,8
758,2,1956,60,6,1,2,1,1,0,1,1,0,1,0,0,1,1,8
892,2,1940,76,6,1,5,1,,,,,,,,,,,7
329,1,1957,59,5,1,4,1,1,0,,,1,0,,0,0,1,6
499,1,1957,59,5,1,5,1,1,0,1,1,1,1,1,0,1,1,10
517,1,1957,59,5,1,4,1,1,1,1,1,0,1,0,0,0,1,6
538,1,1966,50,5,1,3,1,1,1,1,1,1,1,,1,1,1,7
548,1,1957,59,5,1,4,1,1,0,1,1,1,1,0,0,1,0,5
602,1,1957,59,5,1,4,1,1,1,1,1,,,0,0,,1,7
613,1,1957,59,5,1,4,1,1,0,1,1,,,0,0,1,1,6
622,1,1957,59,5,1,2,1,0,1,0,1,0,0,1,1,0,1,1
683,1,1957,59,5,1,4,1,1,1,1,1,0,1,1,0,0,1,6
685,1,1960,56,5,1,5,1,1,0,1,1,1,1,0,0,1,0,5
697,1,1965,51,5,1,5,1,0,1,0,1,0,0,1,1,0,1,5
698,1,1960,56,5,1,4,5,0,1,0,1,0,0,1,1,0,1,2
704,1,1966,50,5,1,4,1,0,1,1,0,0,1,0,0,0,1,1
725,1,1957,59,5,1,4,4,1,1,1,1,0,0,,0,0,0,6
747,1,1957,59,5,1,5,1,1,0,1,1,1,1,0,1,1,1,8
756,1,1960,56,5,1,2,1,1,0,1,1,0,0,1,1,1,1,10
759,1,1966,50,5,1,3,1,1,0,1,1,,0,0,0,,1,7
780,1,1966,50,5,1,4,1,0,1,0,1,0,0,,,0,,2
801,1,1964,52,5,1,3,1,0,1,0,1,0,,1,1,0,1,3
809,1,1964,52,5,1,4,1,,,,,0,,,,0,1,6
831,1,1966,50,5,1,4,1,0,1,1,,,,,,0,0,5
901,1,1966,50,5,1,4,8,1,0,1,1,0,1,0,0,1,1,9
986,1,1965,51,5,1,3,1,1,0,1,1,,1,0,0,1,0,7
56,2,1959,57,5,1,4,3,,,,,0,1,1,0,0,0,5
87,2,1959,57,5,1,3,1,,0,,1,0,1,0,0,0,1,3
91,2,1961,55,5,1,5,5,,,,,,0,,,,,0
99,2,1958,58,5,1,4,1,0,1,1,1,0,0,0,0,0,1,3
102,2,1965,51,5,1,3,1,,,,,,,,,,,2
103,2,1959,57,5,1,4,1,1,,,1,,1,,,0,1,5
106,2,1965,51,5,1,2,1,0,1,0,0,0,1,1,1,0,1,4
116,2,1961,55,5,1,3,1,0,1,1,1,0,0,0,0,0,1,6
119,2,1966,50,5,1,2,1,1,,0,,,0,,,0,,0
128,2,1963,53,5,1,4,1,0,1,0,1,0,1,1,0,0,1,5
130,2,1963,53,5,1,5,1,1,0,1,1,1,0,0,0,1,1,9
137,2,1957,59,5,1,2,1,1,1,1,1,,1,0,0,1,1,8
141,2,1958,58,5,1,2,1,0,1,0,0,0,0,1,1,0,1,2
157,2,1964,52,5,1,4,1,1,0,0,0,0,1,1,1,0,0,5
165,2,1965,51,5,1,4,1,1,,1,1,1,0,1,0,1,1,6
175,2,1966,50,5,1,4,1,1,,1,1,1,1,1,0,0,0,7
179,2,1966,50,5,1,5,1,1,0,1,1,,0,0,0,1,,8
189,2,1958,58,5,1,2,1,,0,,1,1,1,,0,1,1,5
210,2,1966,50,5,1,2,1,0,1,1,1,0,0,0,0,0,1,5
221,2,1962,54,5,1,2,1,,,,,,,1,1,,1,7
239,2,1962,54,5,1,3,1,0,1,0,0,0,0,0,1,0,1,0
244,2,1957,59,5,1,2,1,1,,,1,,0,0,0,0,1,4
256,2,1963,53,5,1,2,1,,,,,1,0,,,0,,6
313,2,1959,57,5,1,3,1,1,0,1,1,0,1,0,0,1,0,5
316,2,1958,58,5,1,4,1,1,0,1,1,0,1,0,0,1,0,7
319,2,1959,57,5,1,2,1,,1,1,0,,0,0,1,0,1,4
343,2,1966,50,5,1,2,1,1,0,,1,,0,0,1,0,1,2
366,2,1965,51,5,1,4,1,1,,1,1,,1,0,0,1,1,8
572,2,1957,59,5,1,4,1,,1,1,1,0,,0,0,0,0,6
806,2,1965,51,5,1,4,1,0,1,0,0,0,1,1,1,0,1,3
853,2,1960,56,5,1,2,1,,,,,0,0,,1,0,1,5
999,2,1962,54,5,1,5,4,0,1,0,1,0,0,1,1,0,1,3
637,1,1974,42,4,1,4,1,1,1,1,1,1,,,0,0,0,7
692,1,1971,45,4,1,2,1,0,1,0,0,0,0,1,0,0,0,0
750,1,1967,49,4,1,4,5,0,1,0,0,0,0,1,1,0,0,1
768,1,1969,47,4,1,4,14,0,0,0,0,0,1,,1,0,0,5
791,1,1971,45,4,1,4,1,1,0,1,1,,0,,0,0,1,6
805,1,1967,49,4,1,4,3,0,0,0,1,0,1,1,0,0,0,0
811,1,1968,48,4,1,2,1,0,0,0,0,0,0,1,0,0,1,3
824,1,1976,40,4,1,2,1,1,1,1,1,0,0,0,1,1,1,6
833,1,1967,49,4,1,3,1,1,0,1,1,1,1,1,0,0,1,3
849,1,1969,47,4,1,4,1,0,1,1,1,0,0,0,0,0,1,7
851,1,1967,49,4,1,2,1,1,0,,,,,,,0,,5
857,1,1975,41,4,1,2,1,,,1,1,,1,,,0,1,5
861,1,1971,45,4,1,4,1,0,1,1,1,1,0,0,1,0,1,10
870,1,1971,45,4,1,3,1,1,1,1,1,0,1,1,0,0,1,8
877,1,1969,47,4,1,4,3,1,0,,0,1,1,1,1,1,,4
904,1,1975,41,4,1,4,1,1,1,1,1,0,1,0,0,0,1,8
915,1,1972,44,4,1,2,1,1,0,0,0,0,1,0,1,0,1,10
922,1,1971,45,4,1,3,1,,0,1,1,0,,,1,0,1,2
932,1,1969,47,4,1,4,1,1,0,1,1,0,1,0,0,1,1,4
940,1,1970,46,4,1,1,1,,1,0,1,0,0,,,0,1,5
948,1,1971,45,4,1,3,1,,,,,,,,,,1,0
955,1,1971,45,4,1,5,5,1,0,1,1,0,1,0,0,0,0,5
961,1,1971,45,4,1,3,1,,0,1,,1,0,,0,0,1,3
963,1,1974,42,4,1,4,1,0,1,0,0,0,0,1,0,0,0,4
973,1,1974,42,4,1,2,1,1,,,,,,1,,1,,5
996,1,1969,47,4,1,4,5,0,1,0,0,0,0,1,1,0,0,8
997,1,1973,43,4,1,3,1,1,1,0,0,0,0,1,1,0,0,5
1009,1,1970,46,4,1,4,5,0,1,0,1,0,0,1,1,0,0,4
1011,1,1971,45,4,1,4,1,0,1,0,0,0,0,1,1,0,0,4
1013,1,1970,46,4,1,4,5,0,1,0,0,0,0,,1,0,0,4
1015,1,1972,44,4,1,2,5,1,0,1,1,0,0,0,0,0,1,2
1035,1,1976,40,4,1,4,2,1,0,1,1,0,1,0,0,0,1,6
1043,1,1967,49,4,1,2,3,1,1,1,1,1,1,1,1,0,1,5
258,2,1971,45,4,1,4,1,0,1,0,0,0,0,0,1,0,1,2
260,2,1971,45,4,1,3,2,0,1,0,0,0,0,1,,0,0,6
261,2,1972,44,4,1,4,3,,0,1,,0,,,1,0,1,5
269,2,1971,45,4,1,2,1,0,0,0,1,0,0,0,0,0,1,10
276,2,1976,40,4,1,2,1,,1,1,1,0,0,,1,0,1,3
277,2,1968,48,4,1,2,1,1,0,0,1,0,0,1,0,0,1,5
288,2,1975,41,4,1,2,2,,,0,0,,0,,,,,1
302,2,1976,40,4,1,4,9,,,,,,,,,,,5
375,2,1975,41,4,1,4,1,1,,0,1,0,0,0,1,0,0,4
413,2,1971,45,4,1,2,1,0,1,1,1,0,0,0,0,0,1,10
416,2,1972,44,4,1,3,1,0,0,,0,,0,1,1,0,1,5
448,2,1975,41,4,1,5,1,1,0,1,0,0,1,1,1,1,1,10
518,2,1976,40,4,1,2,1,0,1,1,0,0,0,0,1,0,1,1
540,2,1971,45,4,1,1,1,,,,,,,,,,,5
584,2,1970,46,4,1,2,5,0,,1,1,,0,,1,0,1,6
585,2,1971,45,4,1,2,1,1,0,0,1,0,0,1,0,1,1,10
619,2,1975,41,4,1,3,4,,1,,1,,1,1,,0,1,5
625,2,1968,48,4,1,5,1,,1,,,,1,,1,0,1,5
726,2,1967,49,4,1,3,1,1,0,1,1,1,1,1,0,1,1,7
786,2,1967,49,4,1,4,1,1,,1,,0,0,1,0,0,,6
830,2,1971,45,4,1,3,1,,,1,1,,1,,0,1,1,10
838,2,1976,40,4,1,2,1,1,1,0,0,0,1,1,1,1,0,6
844,2,1976,40,4,1,4,3,1,1,1,1,0,0,1,0,1,1,5
856,2,1976,40,4,1,3,1,,1,,1,,0,1,0,0,,5
975,2,1971,45,4,1,1,1,1,1,1,1,,0,0,1,0,1,0
987,2,1976,40,4,1,2,1,1,0,,,,1,1,,,1,5
998,2,1973,43,4,1,3,1,1,0,1,1,1,0,1,1,0,1,5
702,1,1978,38,3,1,4,1,,0,0,1,1,1,1,1,0,1,5
763,1,1978,38,3,1,4,1,0,1,,1,0,1,1,1,0,1,3
772,1,1986,30,3,1,4,1,,0,0,0,0,0,1,0,0,1,3
774,1,1978,38,3,1,2,1,1,0,0,1,1,0,1,1,0,0,6
776,1,1978,38,3,1,4,1,1,1,1,0,0,0,1,1,0,1,6
782,1,1980,36,3,1,2,2,,,1,,,,,1,0,1,5
789,1,1979,37,3,1,2,3,,,0,0,0,0,0,1,0,1,5
836,1,1985,31,3,1,3,2,1,0,0,0,0,0,1,1,0,1,7
846,1,1981,35,3,1,4,1,1,1,0,0,0,1,1,1,0,1,3
854,1,1980,36,3,1,4,3,0,1,1,1,0,0,,1,0,,4
858,1,1982,34,3,1,4,1,1,1,,1,0,0,1,1,0,1,3
884,1,1985,31,3,1,2,1,0,1,0,0,0,0,1,1,0,1,4
913,1,1977,39,3,1,4,1,,1,1,1,0,1,0,1,0,0,3
916,1,1983,33,3,1,4,10,1,0,1,1,0,1,1,0,0,1,6
934,1,1980,36,3,1,4,1,0,1,0,1,0,0,1,1,0,1,5
956,1,1982,34,3,1,4,1,0,1,,1,0,,1,0,0,1,6
967,1,1981,35,3,1,4,1,1,0,1,1,1,1,0,1,1,1,5
984,1,1981,35,3,1,4,1,,0,1,1,,0,1,0,,1,3
1003,1,1984,32,3,1,4,5,0,,1,0,0,0,1,1,0,,5
1004,1,1980,36,3,1,4,1,0,1,0,0,0,1,,0,0,1,4
1023,1,1979,37,3,1,4,1,1,0,1,0,,1,0,0,1,1,8
1032,1,1984,32,3,1,4,1,0,1,1,1,1,0,0,1,0,1,5
1038,1,1984,32,3,1,4,15,1,1,0,1,1,0,0,1,0,1,5
1045,1,1983,33,3,1,4,8,0,1,0,1,0,0,1,1,0,1,3
1046,1,1977,39,3,1,4,1,1,0,1,1,0,1,0,0,0,1,6
293,2,1977,39,3,1,4,1,1,1,0,1,,1,1,1,0,0,5
297,2,1986,30,3,1,2,2,0,0,0,0,0,0,0,1,0,1,6
298,2,1982,34,3,1,3,1,,1,1,0,,0,1,1,0,1,3
301,2,1984,32,3,1,2,1,1,1,0,0,0,0,,1,0,1,6
306,2,1979,37,3,1,4,1,0,1,,1,0,0,0,0,0,,5
325,2,1986,30,3,1,5,2,1,0,1,1,,,1,1,0,1,5
391,2,1977,39,3,1,4,1,1,0,,1,,0,1,1,0,1,2
420,2,1984,32,3,1,3,1,1,,1,1,0,0,,0,0,1,5
468,2,1984,32,3,1,3,1,0,1,0,0,0,1,0,0,0,1,2
496,2,1982,34,3,1,4,1,,,,1,1,0,0,0,0,1,7
525,2,1984,32,3,1,3,3,,0,0,0,,0,,1,0,0,5
532,2,1977,39,3,1,4,1,,0,0,0,0,0,1,1,0,1,3
544,2,1981,35,3,1,4,1,1,0,,,0,0,,1,0,1,4
564,2,1986,30,3,1,4,1,1,0,1,1,,0,0,0,,1,5
656,2,1979,37,3,1,4,1,,0,0,0,0,,1,1,0,1,3
663,2,1986,30,3,1,5,1,1,1,0,1,,0,,1,0,0,5
718,2,1980,36,3,1,5,1,1,0,1,1,0,1,0,0,1,1,9
820,2,1979,37,3,1,2,1,,1,0,,,0,1,,0,1,3
826,2,1985,31,3,1,4,3,1,0,0,0,0,0,1,1,0,1,7
827,2,1977,39,3,1,2,1,1,0,0,1,0,1,0,0,0,1,4
855,2,1981,35,3,1,3,1,1,0,0,0,0,0,1,1,1,1,5
889,2,1986,30,3,1,1,1,,1,0,1,0,1,1,0,0,0,5
912,2,1984,32,3,1,3,1,,0,,1,0,0,,1,0,1,5
918,2,1985,31,3,1,2,1,,,,,,1,0,0,,,5
938,2,1986,30,3,1,3,2,,0,1,0,1,0,0,0,0,1,5
989,2,1980,36,3,1,2,1,0,0,,,,1,,1,0,1,5
1025,2,1984,32,3,1,4,1,1,1,0,1,1,0,0,0,1,0,0
516,1,1996,20,2,1,4,1,1,0,,1,0,,,0,0,0,5
519,1,1990,26,2,1,3,2,0,0,1,1,0,0,,0,0,1,5
523,1,1988,28,2,1,2,1,,0,1,1,0,0,,1,0,1,5
530,1,1989,27,2,1,4,1,1,0,0,0,1,0,1,1,0,0,7
559,1,1988,28,2,1,4,1,0,,0,1,1,1,,0,1,0,7
571,1,1988,28,2,1,3,4,1,1,1,1,0,0,0,0,0,1,6
610,1,1990,26,2,1,4,1,0,0,,1,,0,0,1,0,1,7
728,1,1993,23,2,1,4,1,,0,1,1,1,,,1,1,1,7
734,1,1992,24,2,1,4,1,0,1,0,1,0,0,1,1,0,1,3
739,1,1990,26,2,1,4,5,1,0,0,1,0,0,0,1,0,1,6
742,1,1993,23,2,1,4,1,1,0,1,1,1,0,,1,1,1,6
823,1,1995,21,2,1,5,3,1,1,,,,1,1,,,,2
860,1,1994,22,2,1,4,1,1,0,1,1,0,0,1,1,1,1,5
865,1,1991,25,2,1,4,1,1,0,1,1,0,0,0,0,0,1,5
866,1,1992,24,2,1,4,1,0,1,1,1,0,0,,0,0,1,5
879,1,1993,23,2,1,2,1,1,0,1,1,0,1,0,0,1,1,4
945,1,1994,22,2,1,4,1,1,0,1,1,,0,0,1,1,1,3
947,1,1989,27,2,1,4,1,1,0,,1,,0,,0,0,1,5
950,1,1988,28,2,1,4,1,1,0,1,1,1,1,,0,1,1,10
971,1,1990,26,2,1,4,2,0,,0,,,0,,1,0,0,3
980,1,1991,25,2,1,4,1,0,0,1,0,1,0,1,1,0,1,4
1012,1,1994,22,2,1,2,1,1,0,0,1,0,0,,1,0,,5
1018,1,1987,29,2,1,4,1,0,1,0,0,0,0,1,1,0,1,6
379,2,1994,22,2,1,4,1,1,0,0,1,0,0,1,1,1,1,3
383,2,1993,23,2,1,3,1,1,0,,1,1,1,1,0,1,1,6
424,2,1996,20,2,1,4,1,0,0,0,0,0,0,1,1,0,1,5
444,2,1995,21,2,1,3,5,0,,0,,0,0,1,1,0,,5
456,2,1989,27,2,1,2,4,1,1,0,0,0,0,1,1,0,0,5
471,2,1997,19,2,1,4,1,,,,,0,0,1,1,1,1,5
476,2,1990,26,2,1,3,1,,,,1,0,0,,,0,1,3
511,2,1993,23,2,1,4,1,0,1,0,1,0,0,0,0,0,1,3
513,2,1991,25,2,1,1,1,0,1,0,1,0,0,,1,0,1,4
542,2,1991,25,2,1,4,1,1,1,0,,,0,1,1,0,0,4
603,2,1991,25,2,1,4,1,1,1,0,0,,0,,1,0,1,3
648,2,1988,28,2,1,5,10,0,0,0,0,1,1,1,,0,1,4
650,2,1989,27,2,1,3,1,1,,,0,,0,,0,,1,5
658,2,1987,29,2,1,4,3,1,0,,0,0,0,0,1,0,1,10
682,2,1988,28,2,1,3,1,1,,,,0,0,,1,0,1,5
852,2,1994,22,2,1,2,1,0,0,0,0,,0,0,1,0,1,3
882,2,1996,20,2,1,4,1,,,,1,1,0,,1,0,1,5
972,2,1994,22,2,1,2,3,,,,1,,0,0,1,0,0,6
974,2,1993,23,2,1,3,1,1,0,1,1,1,0,,0,0,1,3
994,2,1996,20,2,1,4,1,,,,1,1,1,,1,0,1,5
1014,2,1996,20,2,1,4,1,0,1,0,,,0,,1,0,1,4
1020,2,1991,25,2,1,4,5,,,0,0,1,0,1,1,0,0,5
1021,2,1990,26,2,1,3,1,1,,,,,,,,,,1
1026,2,1991,25,2,1,4,1,1,,0,1,1,0,0,1,0,1,4
1053,2,1996,20,2,1,4,1,,0,0,0,0,0,1,0,0,1,4
7,1,1955,61,6,8,3,1,0,1,0,1,0,0,0,0,0,1,10
16,1,1952,64,6,4,2,1,,1,1,0,,1,0,0,0,0,6
23,1,1955,61,6,4,3,1,,1,,,0,0,1,1,0,1,4
26,1,1952,64,6,8,4,1,1,0,1,1,1,1,0,0,1,1,10
32,1,1950,66,6,8,2,1,1,0,1,1,1,1,0,0,1,1,10
33,1,1949,67,6,8,2,1,0,0,0,1,0,1,0,0,0,0,6
34,1,1954,62,6,8,1,1,1,0,1,1,,1,0,0,1,1,7
37,1,1949,67,6,8,2,1,1,,,,,0,,,,,10
38,1,1954,62,6,8,3,1,1,0,1,1,0,1,0,0,1,1,8
39,1,1955,61,6,8,2,2,1,0,1,1,0,1,0,0,0,1,7
49,1,1955,61,6,8,4,1,1,1,1,1,1,1,0,0,1,1,10
51,1,1947,69,6,8,5,1,,1,0,1,0,0,1,0,0,1,5
52,1,1949,67,6,8,2,1,1,1,1,1,,,1,1,1,1,0
66,1,1953,63,6,8,4,1,1,0,1,1,0,1,1,0,1,1,8
71,1,1954,62,6,8,2,3,,0,1,1,0,0,1,1,0,1,5
73,1,1949,67,6,8,4,1,1,,1,1,0,1,0,0,0,0,9
75,1,1953,63,6,8,2,1,1,0,1,1,0,1,1,0,1,1,10
77,1,1952,64,6,8,5,3,1,0,1,1,0,1,0,0,1,1,8
78,1,1955,61,6,4,2,1,0,1,0,0,0,0,1,0,0,0,4
82,1,1953,63,6,8,4,3,0,1,1,1,,1,1,1,0,1,5
83,1,1951,65,6,8,2,1,0,1,0,1,0,1,0,1,0,1,3
89,1,1956,60,6,8,4,1,1,0,1,1,0,1,0,0,1,1,7
96,1,1953,63,6,8,4,1,1,0,1,1,0,1,0,0,1,1,8
98,1,1956,60,6,8,3,1,1,0,1,1,0,1,0,0,1,1,8
112,1,1955,61,6,8,4,2,1,0,1,1,1,1,0,0,1,1,7
114,1,1954,62,6,8,2,1,1,0,1,1,0,1,0,0,0,1,6
121,1,1952,64,6,8,4,1,1,0,1,1,1,1,0,0,1,1,6
124,1,1956,60,6,8,2,1,1,0,1,1,0,1,0,0,1,0,8
133,1,1955,61,6,8,2,3,1,,1,,0,,0,0,0,1,6
136,1,1956,60,6,8,4,1,1,,,1,,1,0,0,0,0,5
145,1,1956,60,6,8,4,1,1,0,1,1,0,,0,0,1,1,6
147,1,1955,61,6,8,4,1,1,0,1,1,0,1,0,0,0,1,6
173,1,1954,62,6,8,4,1,1,0,1,1,1,1,0,0,1,1,10
328,1,1955,61,6,8,4,1,1,0,1,1,1,1,0,0,1,1,8
433,1,1952,64,6,8,4,1,1,0,1,1,1,1,0,0,1,1,9
436,1,1954,62,6,8,2,1,1,0,1,1,1,1,1,1,1,0,5
461,1,1952,64,6,8,3,1,1,1,1,1,0,0,1,0,0,0,6
483,1,1956,60,6,4,4,1,1,0,1,1,,1,,0,1,1,7
494,1,1955,61,6,4,2,1,1,1,,1,1,1,0,0,1,1,7
521,1,1954,62,6,8,3,1,1,0,1,1,1,1,0,0,,1,8
541,1,1956,60,6,8,4,1,0,1,0,0,0,0,1,1,0,1,0
543,1,1955,61,6,4,2,1,1,0,1,1,1,1,0,0,1,1,6
561,1,1955,61,6,4,4,1,0,1,,1,0,0,,0,0,0,4
